Alias,Grado
11419,1
11399,1
13212,1
13608,1
2465,1
14836,1
16508,1
14191,1
16211,1
13776,1
15762,1
11117,1
14653,1
14532,1
15413,1
10008,1
10276,1
13226,1
10987,1
16824,1
2801,1
15902,1
6122,1
15551,1
10967,1
4723,1
8164,1
9236,1
1902,1
1767,1
71,1
15384,1
7195,1
8603,1
12493,1
14039,1
16638,1
11886,1
12731,1
14174,1
15330,1
328,1
3212,1
7418,1
16766,1
4090,1
7689,1
9329,1
14398,1
13858,1
15314,1
9284,1
12232,1
16753,1
2870,1
5411,1
15166,1
7508,1
6513,1
10617,1
2098,1
11625,1
9745,1
5382,1
4338,1
5389,1
5422,1
4819,1
1925,1
1694,1
5146,1
1063,1
9985,1
16379,1
49,1
312,1
2136,1
1776,1
576,1
7166,1
8769,1
14082,1
1193,1
4794,1
11063,1
13933,1
658,1
7388,1
4085,1
3916,1
11108,1
3716,1
34,1
12749,1
14897,1
510,1
13134,1
9031,1
9279,1
15945,1
15810,1
5340,1
15004,1
8198,1
5965,1
7365,1
8738,1
4273,1
12705,1
6560,1
7949,1
16486,1
166,1
13544,1
14014,1
7060,1
8441,1
8172,1
1233,1
2347,1
6114,1
14703,1
16049,1
13668,1
2400,1
2953,1
13597,1
100,1
8298,1
10044,1
10054,1
9065,1
4609,1
16399,1
16744,1
17023,1
17151,1
3098,1
7070,1
9646,1
1322,1
14903,1
8761,1
360,1
470,1
15561,1
1510,1
9500,1
9849,1
2310,1
5339,1
14899,1
1040,1
7257,1
527,1
4626,1
4754,1
14672,1
13256,1
9617,1
2067,1
5915,1
1455,1
8493,1
8325,1
7564,1
3958,1
1311,1
2726,1
3036,1
5284,1
10816,1
6374,1
2722,1
5294,1
7696,1
16569,1
12055,1
7470,1
6753,1
6731,1
15682,1
4485,1
15529,1
7884,1
8583,1
4322,1
17128,1
857,1
15118,1
3532,1
6634,1
8137,1
10681,1
495,1
12251,1
6093,1
9363,1
10443,1
13379,1
13477,1
16573,1
2174,1
7270,1
16763,1
5997,1
8043,1
15196,1
1320,1
12931,1
5527,1
7484,1
2288,1
10058,1
6254,1
6741,1
10705,1
15256,1
17252,1
2917,1
1579,1
9862,1
5868,1
8537,1
15815,1
3614,1
13777,1
7552,1
8756,1
8978,1
14245,1
3598,1
11966,1
10119,1
8617,1
10030,1
3032,1
8810,1
12539,1
12701,1
13491,1
4987,1
1539,1
1963,1
1914,1
8561,1
9726,1
16980,1
957,1
8542,1
15337,1
10461,1
2993,1
3291,1
7668,1
4012,1
9220,1
3290,1
15121,1
2076,1
1882,1
6606,1
15257,1
4054,1
17106,1
8039,1
16581,1
6360,1
6921,1
8877,1
9440,1
11397,1
17305,1
15205,1
6186,1
16674,1
9534,1
6354,1
5082,1
13493,1
13816,1
9659,1
10352,1
534,1
1393,1
14005,1
6215,1
6543,1
7525,1
2451,1
3995,1
5085,1
8968,1
7178,1
12212,1
5305,1
5384,1
937,1
13357,1
398,1
12633,1
16329,1
3569,1
15156,1
12880,1
13182,1
2432,1
12475,1
11931,1
10958,1
2908,1
3864,1
15729,1
8487,1
11723,1
3456,1
4497,1
12024,1
829,1
14348,1
8635,1
2353,1
15983,1
10441,1
12949,1
10866,1
10168,1
2208,1
4111,1
16285,1
2734,1
15927,1
12794,1
7099,1
4251,1
5695,1
6154,1
16897,1
3133,1
7213,1
9529,1
15138,1
11188,1
7832,1
2430,1
8631,1
6353,1
7475,1
16055,1
12935,1
4341,1
9041,1
3230,1
2606,1
15842,1
9989,1
12746,1
17003,1
4463,1
6590,1
9818,1
15266,1
16934,1
3504,1
4150,1
832,1
14539,1
3234,1
12959,1
728,1
4103,1
8554,1
11538,1
2796,1
10727,1
22,1
5217,1
15176,1
16436,1
751,1
2149,1
9023,1
4689,1
5292,1
11228,1
12748,1
3088,1
10413,1
12416,1
4102,1
12391,1
13953,1
15404,1
9344,1
1439,1
6407,1
7605,1
1236,1
2817,1
16937,1
16261,1
16624,1
13389,1
16031,1
15304,1
6537,1
3969,1
4033,1
16115,1
280,1
5939,1
6059,1
2229,1
4176,1
8958,1
9174,1
13614,1
16800,1
1408,1
8305,1
8672,1
10637,1
10830,1
13509,1
406,1
4393,1
8740,1
9675,1
10565,1
9049,1
2178,1
6739,1
9324,1
10533,1
12155,1
13404,1
4668,1
3342,1
5066,1
8280,1
11673,1
17011,1
16321,1
2620,1
13077,1
8941,1
10006,1
10739,1
12834,1
16409,1
3680,1
4884,1
6359,1
10246,1
13779,1
3271,1
6619,1
9977,1
16908,1
889,1
2607,1
5546,1
15477,1
3893,1
11332,1
11045,1
9990,1
13364,1
15472,1
6787,1
5173,1
14651,1
1533,1
6518,1
3874,1
6091,1
14493,1
9168,1
6961,1
15011,1
16361,1
13924,1
2590,1
4425,1
9768,1
5152,1
10039,1
1594,1
7302,1
1615,1
10426,1
9360,1
11610,1
12037,1
7019,1
385,1
6562,1
7846,1
6639,1
13059,1
8400,1
14864,1
15495,1
2031,1
3264,1
14883,1
2489,1
4109,1
1351,1
4377,1
6210,1
16109,1
5118,1
4672,1
2944,1
15089,1
17145,1
9638,1
745,1
12802,1
10589,1
3832,1
8054,1
10797,1
12267,1
11240,1
17290,1
11926,1
12694,1
6886,1
7300,1
7810,1
10663,1
7353,1
3537,1
1956,1
9580,1
12760,1
13206,1
29,1
15859,1
15540,1
15007,1
10389,1
3941,1
4818,1
6249,1
6855,1
13637,1
6053,1
6980,1
12550,1
13601,1
14040,1
2829,1
5701,1
9951,1
13260,1
2503,1
4129,1
13837,1
15400,1
3415,1
13298,1
11387,1
7155,1
7759,1
12946,1
3197,1
6964,1
8911,1
11632,1
12507,1
1403,1
12695,1
9333,1
14119,1
11519,1
10659,1
5514,1
7977,1
16163,1
16460,1
17109,1
3338,1
9157,1
9234,1
3294,1
16769,1
2951,1
666,1
6062,1
15135,1
10776,1
6915,1
7901,1
9706,1
9460,1
82,1
6758,1
4853,1
4042,1
4726,1
16952,1
15771,1
10575,1
12333,1
1831,1
787,1
13712,1
2507,1
207,1
1600,1
69,1
8573,1
11950,1
15079,1
14929,1
7974,1
8820,1
14093,1
17097,1
1368,1
14878,1
10737,1
13764,1
11296,1
6338,1
10628,1
10924,1
13809,1
15199,1
4411,1
5190,1
5529,1
12656,1
5613,1
12523,1
15424,1
120,1
3333,1
15473,1
13920,1
16751,1
2274,1
5496,1
9704,1
11670,1
14558,1
5884,1
2945,1
1960,1
7087,1
14839,1
6148,1
25,1
2996,1
4034,1
4460,1
13042,1
3819,1
2209,1
3847,1
10650,1
17092,1
11988,1
646,1
1000,1
3589,1
4788,1
7134,1
4870,1
6626,1
15791,1
14469,1
5967,1
9771,1
16680,1
17152,1
3362,1
8547,1
9132,1
8361,1
522,1
1848,1
8531,1
15006,1
11973,1
12113,1
6686,1
13650,1
589,1
5157,1
4643,1
2702,1
11030,1
11103,1
16668,1
3528,1
2291,1
6808,1
11118,1
10656,1
14133,1
15978,1
7240,1
8127,1
1653,1
10189,1
16330,1
13366,1
15302,1
16129,1
14078,1
12010,1
12543,1
2352,1
3972,1
2298,1
15513,1
17221,1
80,1
10285,1
11171,1
7218,1
2334,1
3730,1
6426,1
1252,1
9828,1
12690,1
5567,1
10604,1
13467,1
3085,1
11279,1
11644,1
6070,1
4294,1
9186,1
4342,1
14094,1
15672,1
17147,1
2448,1
902,1
12275,1
1778,1
11990,1
16727,1
7160,1
13373,1
11798,1
3401,1
6392,1
10459,1
11054,1
14395,1
9886,1
14012,1
4192,1
9852,1
15606,1
426,1
15320,1
7483,1
2756,1
2416,1
4767,1
13388,1
1171,1
1530,1
10895,1
4739,1
11134,1
14013,1
15274,1
6530,1
7124,1
822,1
14603,1
12848,1
15548,1
3440,1
5661,1
10266,1
1671,1
14073,1
15419,1
16332,1
8539,1
11992,1
12584,1
13760,1
14999,1
7015,1
4335,1
4117,1
13203,1
15533,1
2873,1
3057,1
3725,1
11763,1
12257,1
6950,1
12153,1
4637,1
3818,1
4035,1
4999,1
7314,1
587,1
1361,1
5029,1
708,1
109,1
7279,1
11651,1
7282,1
8401,1
14789,1
2271,1
16116,1
4980,1
5189,1
6914,1
10581,1
3767,1
8436,1
2453,1
16268,1
11787,1
13189,1
3304,1
8156,1
8682,1
5374,1
9008,1
16925,1
11757,1
3993,1
17230,1
14429,1
13335,1
14806,1
4184,1
8654,1
2278,1
7819,1
11141,1
13973,1
6571,1
6744,1
8123,1
6163,1
8739,1
3723,1
366,1
1550,1
1106,1
5212,1
10716,1
15658,1
8897,1
14126,1
2135,1
3782,1
11996,1
6520,1
11434,1
11459,1
12510,1
13324,1
11717,1
13812,1
5602,1
13697,1
5886,1
6256,1
10169,1
10362,1
14549,1
15375,1
6743,1
11084,1
12963,1
